,symbol,open,high,low,close,volume
2021-01-16,BINANCE:BTCDOWNUSDT,0.236,0.2742,0.2228,0.239,111122.4319
2021-01-17,BINANCE:BTCDOWNUSDT,0.2389,0.258,0.2128,0.227,85594.9788
2021-01-18,BINANCE:BTCDOWNUSDT,0.2265,0.243,0.206,0.2428,78326.2644
2021-01-19,BINANCE:BTCDOWNUSDT,0.2417,0.2889,0.233,0.2506,133624.5654
2021-01-20,BINANCE:BTCDOWNUSDT,0.2517,0.3649,0.2469,0.3437,176032.7828
2021-01-21,BINANCE:BTCDOWNUSDT,0.3433,0.4,0.2655,0.2829,149391.3258
2021-01-22,BINANCE:BTCDOWNUSDT,0.2829,0.3146,0.2735,0.2995,101771.2264
2021-01-23,BINANCE:BTCDOWNUSDT,0.3,0.325,0.2813,0.2973,77838.212
2021-01-24,BINANCE:BTCDOWNUSDT,0.2973,0.302,0.25,0.2956,94733.9483
2021-01-25,BINANCE:BTCDOWNUSDT,0.2956,0.3228,0.269,0.2799,102472.2501
2021-01-26,BINANCE:BTCDOWNUSDT,0.2799,0.3647,0.2771,0.3345,152002.2299
2021-01-27,BINANCE:BTCDOWNUSDT,0.3334,0.349,0.2521,0.2601,111220.9501
2021-01-28,BINANCE:BTCDOWNUSDT,0.2601,0.2889,0.1757,0.2286,377125.0776
2021-01-29,BINANCE:BTCDOWNUSDT,0.2287,0.2507,0.2151,0.2276,83416.8937
2021-01-30,BINANCE:BTCDOWNUSDT,0.2274,0.268,0.226,0.2509,52263.2852
2021-01-31,BINANCE:BTCDOWNUSDT,0.2505,0.2672,0.22,0.2438,70742.9999
2021-02-01,BINANCE:BTCDOWNUSDT,0.2439,0.2456,0.197,0.2043,66344.7266
2021-02-02,BINANCE:BTCDOWNUSDT,0.2043,0.2061,0.1768,0.1771,71710.6889
2021-02-03,BINANCE:BTCDOWNUSDT,0.1775,0.1945,0.1632,0.1858,113853.2224
2021-02-04,BINANCE:BTCDOWNUSDT,0.1858,0.1907,0.1696,0.1707,64058.8013
2021-02-05,BINANCE:BTCDOWNUSDT,0.1705,0.1716,0.143,0.1596,142229.0663
2021-02-06,BINANCE:BTCDOWNUSDT,0.1598,0.179,0.1541,0.1644,129124.17
2021-02-07,BINANCE:BTCDOWNUSDT,0.1642,0.1731,0.0968,0.1005,265391.0666
2021-02-08,BINANCE:BTCDOWNUSDT,0.1005,0.1084,0.0906,0.1006,315894.7922
2021-02-09,BINANCE:BTCDOWNUSDT,0.1008,0.1176,0.0959,0.1109,261217.8244
2021-02-10,BINANCE:BTCDOWNUSDT,0.1113,0.1165,0.0877,0.0926,307411.7735
2021-02-11,BINANCE:BTCDOWNUSDT,0.0927,0.0999,0.086,0.095,317233.5029
2021-02-12,BINANCE:BTCDOWNUSDT,0.0951,0.1006,0.0915,0.0961,239974.873
2021-02-13,BINANCE:BTCDOWNUSDT,0.0963,0.0972,0.0853,0.0908,261063.9139
2021-02-14,BINANCE:BTCDOWNUSDT,0.0908,0.1026,0.0851,0.0904,285677.3763
2021-02-15,BINANCE:BTCDOWNUSDT,0.0905,0.0954,0.0752,0.0843,330564.1399
2021-02-16,BINANCE:BTCDOWNUSDT,0.0844,0.0854,0.0685,0.0711,347317.666
2021-02-17,BINANCE:BTCDOWNUSDT,0.0711,0.0766,0.0695,0.0741,191141.2652
2021-02-18,BINANCE:BTCDOWNUSDT,0.0743,0.078,0.0581,0.0597,296784.0066
2021-02-19,BINANCE:BTCDOWNUSDT,0.0598,0.0658,0.0555,0.0607,390934.8292
2021-02-20,BINANCE:BTCDOWNUSDT,0.0608,0.0619,0.0536,0.0567,302044.7021
2021-02-21,BINANCE:BTCDOWNUSDT,0.0569,0.0861,0.0566,0.0646,667002.9904
2021-02-22,BINANCE:BTCDOWNUSDT,0.0646,0.0978,0.0643,0.0813,999594.7813
2021-02-23,BINANCE:BTCDOWNUSDT,0.0814,0.0896,0.071,0.0785,642442.2252
2021-02-24,BINANCE:BTCDOWNUSDT,0.0784,0.0914,0.0683,0.0895,619151.0996
2021-02-25,BINANCE:BTCDOWNUSDT,0.0894,0.1017,0.0842,0.0927,728165.9353
2021-02-26,BINANCE:BTCDOWNUSDT,0.0928,0.0987,0.0837,0.0941,357358.2297
2021-02-27,BINANCE:BTCDOWNUSDT,0.094,0.1075,0.0916,0.0978,550393.543
2021-02-28,BINANCE:BTCDOWNUSDT,0.0981,0.0991,0.0761,0.0782,473320.6427
2021-03-01,BINANCE:BTCDOWNUSDT,0.0782,0.088,0.0754,0.0825,401445.1321
2021-03-02,BINANCE:BTCDOWNUSDT,0.0826,0.0838,0.0655,0.0737,480033.8512
2021-03-03,BINANCE:BTCDOWNUSDT,0.0737,0.0855,0.0681,0.0813,457033.8113
